0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,2,5,4,8,9,1,3,2,4,10,9,8,5,6
2,4,8,9,1,5,4,3,7,3,5,9,8,5,5
5,4,7,10,2,1,5,6,7,8,8,7,5,8,9
10,8,5,4,6,5,7,1,4,10,2,5,7,6,6
5,8,9,9,7,6,4,2,5,10,3,7,8,9,5
1,1,4,5,2,3,6,7,8,7,9,10,5,9,7
5,8,7,9,10,5,8,9,10,7,8,5,6,5,8
9,7,4,8,5,2,1,3,6,6,5,7,8,9,10
10,2,2,4,5,7,8,8,9,5,5,4,2,2,4
1,8,8,7,5,4,2,1,1,2,3,6,9,9,8
2,10,4,4,2,2,1,3,6,5,7,8,9,10,8
2,4,3,5,6,4,2,1,3,7,4,8,5,2,1
1,2,2,3,4,5,4,4,1,5,7,8,9,10,8
2,5,4,1,7,8,7,8,5,2,4,5,4,7,5
9,6,5,10,2,4,5,7,8,2,9,10,2,5,4
