rank,start,end,value
0,14,17,0.24820265302168787
1,10,24,0.22884236132389302
2,33,34,0.1761899966018876
3,10,11,0.14245127557982928
4,40,43,0.14194836044260395
5,26,28,0.13931530231860645
6,12,13,0.12622014932492953
7,10,23,0.12083886669534549
8,30,31,0.11853282240557106
9,29,30,0.11318782860239618
10,25,26,0.1118074594158247
11,7,8,0.0906156013127577
12,12,27,0.09037965696887929
13,9,21,0.0900552901517615
14,30,33,0.08876436648175656
15,34,35,0.08515671803786873
16,10,21,0.08356235882226759
17,38,39,0.08291007331297884
18,31,33,0.08180843456148468
19,9,10,0.08164367669493089
20,16,36,0.08047954764376475
21,13,30,0.07603292324497679
22,12,25,0.07598611285928958
23,23,24,0.07545406420656287
24,13,29,0.07510762420023043
25,11,23,0.07330254939782055
26,13,28,0.07260833729023863
27,33,35,0.07122980315119087
28,29,33,0.0704057590605569
29,25,28,0.07000006685075166
30,11,21,0.06973435006809403
31,5,6,0.06956137690187747
32,12,28,0.06737398480999657
33,11,24,0.06725827128067907
34,12,26,0.0630373687662047
35,4,18,0.06206143197479985
36,31,34,0.06109228349592821
37,29,31,0.059152967788060895
38,13,31,0.058663461169587316
39,10,12,0.05788820732365796
40,28,29,0.057198528271726445
41,12,30,0.056627412154100165
42,40,42,0.05657391187288208
43,14,15,0.05638364912033689
44,13,27,0.056109644186466356
45,12,31,0.05491789017290083
46,13,26,0.05417061315082772
47,30,34,0.0539913150639133
48,31,32,0.05344553419504905
49,27,31,0.05275418385161701
50,12,29,0.052523979812504784
51,13,25,0.051063388083900874
52,39,41,0.04980714554446708
53,14,16,0.04775135627739435
54,12,24,0.04751313502174326
55,1,32,0.04747187496218497
56,10,22,0.04569669356403683
57,13,33,0.04554568097068468
58,6,37,0.04504133327588922
59,11,20,0.04483158088022354
60,1,12,0.044378894364800026
61,28,30,0.04361777958598578
62,27,30,0.042731829111601005
63,9,24,0.04259202820349128
64,29,34,0.042378080166251886
65,35,36,0.04228124961155566
66,31,35,0.04220600493598159
67,12,33,0.04192269037358187
68,21,22,0.04184514758483826
69,21,24,0.04173594182761975
70,9,22,0.04043493823078803
71,11,12,0.039893165916514706
72,5,14,0.0386889009103919
73,27,32,0.03859359257064754
74,10,25,0.038557585279987316
75,10,20,0.03773483169573466
76,26,29,0.0372651803871058
77,30,35,0.036964172231430004
78,32,33,0.036773332461547126
79,12,23,0.0367040471947464
80,1,31,0.03650225620702119
81,10,14,0.03638885043765061
82,28,33,0.03608344610530656
83,1,14,0.03606571953685167
84,20,21,0.03602646650688812
85,14,36,0.03568538981747871
86,9,23,0.0354987807441407
87,10,27,0.035366281594816806
88,28,31,0.035264747271328556
89,11,22,0.03509285197173617
90,10,13,0.0350368323052237
91,12,32,0.03479677186291097
92,30,32,0.03439729389036161
93,10,26,0.03436905697768178
94,5,8,0.03435409652435362
95,10,28,0.03394986126983146
96,12,14,0.03368183786697165
97,5,37,0.03362523116150351
98,14,32,0.033606579455452534
99,16,32,0.033577329613665
100,27,29,0.03331591292616043
101,32,34,0.03298088798646437
102,27,33,0.03278980870286419
103,1,10,0.0322077942037422
104,29,35,0.03214021464355854
105,32,35,0.031897875557946875
106,13,34,0.03181390171404441
107,27,28,0.03163426440611139
108,26,30,0.031595778687849796
109,32,36,0.031506700018756995
110,12,34,0.031111307665097954
111,3,9,0.030781475392108737
112,25,29,0.030521713200806655
113,1,13,0.03049090205667282
